movieId,title,genres,imdbId,tmdbId,cast,director,tags,content,poster_file,rating_mean,rating_count,bayes
22,Copycat (1995),Crime Drama Horror Mystery Thriller,112722,1710.0,Sigourney Weaver|Holly Hunter|Will Patton|William McNamara|Harry Connick Jr.|J.E. Freeman,Jon Amiel,thriller detective suspenseful serial killer mystery,copycat 1995 crime drama horror mystery thriller thriller detective suspenseful serial killer mystery sigourney weaver holly hunter will patton william mcnamara harry connick jr j e freeman jon amiel,tt0112722.jpg,4.318181818181818,22,3.633051026338912
23,Assassins (1995),Action Crime Thriller,112401,9691.0,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson|Steve Kahan,Richard Donner,sylvester stallone assassination cat police chase rivalry,assassins 1995 action crime thriller sylvester stallone assassination cat police chase rivalry sylvester stallone antonio banderas julianne moore anatoli davydov muse watson steve kahan richard donner,tt0112401.jpg,4.061994609164421,371,3.906939223691991
24,Powder (1995),Drama Sci-Fi,114168,12665.0,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith,Victor Salva,albino special powers elegiac poignant pretentious,powder 1995 drama sci fi albino special powers elegiac poignant pretentious mary steenburgen sean patrick flanery lance henriksen jeff goldblum brandon smith victor salva,tt0114168.jpg,4.02,25,3.603055731455485
25,Leaving Las Vegas (1995),Drama Romance,113627,451.0,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber|Kim Adams,Mike Figgis,melancholic nicolas cage depressing alcoholism atmospheric,leaving las vegas 1995 drama romance melancholic nicolas cage depressing alcoholism atmospheric nicolas cage elisabeth shue julian sands richard lewis steven weber kim adams mike figgis,tt0113627.jpg,3.528735632183908,87,3.5332645936445752
26,Othello (1995),Drama,114057,16420.0,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Indra Ové|Michael Maloney,Oliver Parker,shakespeare based on a play nudity (topless) adapted from:play clv,othello 1995 drama shakespeare based on a play nudity topless adapted from play clv laurence fishburne ir ne jacob kenneth branagh nathaniel parker indra ov michael maloney oliver parker,tt0114057.jpg,3.551282051282051,39,3.5389176889793164
27,Now and Then (1995),Children Drama,114011,9263.0,Christina Ricci|Rosie O|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore,Lesli Linka Glatter,1970s bechdel test:pass christina ricci coming of age demi moore,now and then 1995 children drama 1970s bechdel test pass christina ricci coming of age demi moore christina ricci rosie o thora birch melanie griffith gaby hoffmann demi moore lesli linka glatter,tt0114011.jpg,3.866666666666666,60,3.6281396821487775
28,Persuasion (1995),Drama Romance,114117,17015.0,Amanda Root|Ciarán Hinds|Susan Fleetwood|Fiona Shaw|John Woodvine|Phoebe Nicholls,Roger Michell,jane austen author:jane austen adapted from:book amanda root 18th century,persuasion 1995 drama romance jane austen author jane austen adapted from book amanda root 18th century amanda root ciar n hinds susan fleetwood fiona shaw john woodvine phoebe nicholls roger michell,tt0114117.jpg,4.6938775510204085,49,3.8139707434411134
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure Drama Fantasy Mystery Sci-Fi,112682,902.0,Ron Perlman|Dominique Pinon|Judith Vittet|Daniel Emilfork|Jean-Claude Dreyfus|Geneviève Brunet,Jean-Pierre Jeunet|Marc Caro,surreal dystopia dark atmospheric steampunk,city of lost children the cit des enfants perdus la 1995 adventure drama fantasy mystery sci fi surreal dystopia dark atmospheric steampunk ron perlman dominique pinon judith vittet daniel emilfork jean claude dreyfus genevi ve brunet jean pierre jeunet marc caro,tt0112682.jpg,3.367647058823529,34,3.505555723079298
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime Drama,115012,37557.0,Gong Li|Li Bao-Tian|Wang Xiaoxiao|Li Xuejian|Chun Sung|Fu Biao,Zhang Yimou,cabaret diva mistress servant shanghai,shanghai triad yao a yao yao dao waipo qiao 1995 crime drama cabaret diva mistress servant shanghai gong li li bao tian wang xiaoxiao li xuejian chun sung fu biao zhang yimou,tt0115012.jpg,3.7857142857142856,35,3.581842271905196
31,Dangerous Minds (1995),Drama,112792,9909.0,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|John Neville|Beatrice Winde,John N. Smith,inspirational high school teacher education based on a book,dangerous minds 1995 drama inspirational high school teacher education based on a book michelle pfeiffer george dzundza courtney b vance robin bartlett john neville beatrice winde john n smith,tt0112792.jpg,2.431077694235589,399,2.740162512025248
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery Sci-Fi Thriller,114746,63.0,Bruce Willis|Madeleine Stowe|Brad Pitt|Christopher Plummer|David Morse|Jon Seda,Terry Gilliam,time travel post-apocalyptic twist ending brad pitt bruce willis,twelve monkeys a k a 12 monkeys 1995 mystery sci fi thriller time travel post apocalyptic twist ending brad pitt bruce willis bruce willis madeleine stowe brad pitt christopher plummer david morse jon seda terry gilliam,,3.757575757575758,33,3.5747342109680176
33,Wings of Courage (1995),Adventure Romance IMAX,114952,78802.0,Craig Sheffer|Elizabeth McGovern|Tom Hulce|Ken Pogue|Ron Sauvé|Val Kilmer,Jean-Jacques Annaud,imax 3-d stereoscopic 3-d,wings of courage 1995 adventure romance imax imax 3 d stereoscopic 3 d craig sheffer elizabeth mcgovern tom hulce ken pogue ron sauv val kilmer jean jacques annaud,,4.043478260869565,23,3.601404672258356
34,Babe (1995),Children Drama,112431,9598.0,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn|James Cromwell,Chris Noonan,talking animals pigs adventure animal movie animals,babe 1995 children drama talking animals pigs adventure animal movie animals christine cavanaugh miriam margolyes danny mann hugo weaving miriam flynn james cromwell chris noonan,tt0112431.jpg,3.234375,32,3.4842247682459213
35,Carrington (1995),Drama Romance,112637,47018.0,Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell|Penelope Wilton,Christopher Hampton,entirely dialogue artist england painter polyamory,carrington 1995 drama romance entirely dialogue artist england painter polyamory emma thompson jonathan pryce steven waddington samuel west rufus sewell penelope wilton christopher hampton,tt0112637.jpg,3.89,50,3.622195276399938
36,Dead Man Walking (1995),Crime Drama,112818,687.0,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey|Celia Weston,Tim Robbins,true story death penalty prison susan sarandon nun,dead man walking 1995 crime drama true story death penalty prison susan sarandon nun susan sarandon sean penn robert prosky raymond j barry r lee ermey celia weston tim robbins,tt0112818.jpg,3.5462962962962963,108,3.540114188828849
37,Across the Sea of Time (1995),Documentary IMAX,112286,139405.0,Peter Reznick|John McDonough|Avi Hoffman|Matt Malloy|Abby Lewis,Stephen Low,bd-r imax 3-d stereoscopic 3-d,across the sea of time 1995 documentary imax bd r imax 3 d stereoscopic 3 d peter reznick john mcdonough avi hoffman matt malloy abby lewis stephen low,,4.5,64,3.817580053251084
38,It Takes Two (1995),Children Comedy,113442,33689.0,Kirstie Alley|Steve Guttenberg|Ashley Olsen|Mary-Kate Olsen|Jane Sibbett|Philip Bosco,Andy Tennant,andy tennant cute fun heartwarming identical twin,it takes two 1995 children comedy andy tennant cute fun heartwarming identical twin kirstie alley steve guttenberg ashley olsen mary kate olsen jane sibbett philip bosco andy tennant,tt0113442.jpg,3.357429718875502,249,3.4258664150049194
39,Clueless (1995),Comedy Romance,112697,9603.0,Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison|Elisa Donovan,Amy Heckerling,teen movie high school paul rudd alicia silverstone 1990s,clueless 1995 comedy romance teen movie high school paul rudd alicia silverstone 1990s alicia silverstone stacey dash brittany murphy paul rudd donald faison elisa donovan amy heckerling,tt0112697.jpg,3.913793103448276,29,3.5953806068586265
40,"Cry, the Beloved Country (1995)",Drama,112749,34615.0,James Earl Jones|Charles S. Dutton|Jack Robinson|Tsholofelo Wechoemang|Ramalao Makhene|Richard Harris,Darrell James Roodt,south africa africa based on a book darrell roodt hulu,cry the beloved country 1995 drama south africa africa based on a book darrell roodt hulu james earl jones charles s dutton jack robinson tsholofelo wechoemang ramalao makhene richard harris darrell james roodt,tt0112749.jpg,4.273255813953488,86,3.7989627869792
41,Richard III (1995),Drama War,114279,31174.0,Ian McKellen|Annette Bening|Jim Broadbent|Kristin Scott Thomas|Adrian Dunbar|Maggie Smith,Richard Loncraine,shakespeare ian mckellen based on a play great acting playwright:shakespeare,richard iii 1995 drama war shakespeare ian mckellen based on a play great acting playwright shakespeare ian mckellen annette bening jim broadbent kristin scott thomas adrian dunbar maggie smith richard loncraine,tt0114279.jpg,3.527638190954774,199,3.531214778706179
42,Dead Presidents (1995),Action Crime Drama,112819,11443.0,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson|N,Albert Hughes|Allen Hughes,bank robbery 1960s african american armored truck clv,dead presidents 1995 action crime drama bank robbery 1960s african american armored truck clv larenz tate keith david chris tucker freddy rodr guez rose jackson n albert hughes allen hughes,tt0112819.jpg,3.8181818181818175,22,3.5709041336835443
43,Restoration (1995),Drama,114272,35196.0,Robert Downey Jr.|Meg Ryan|Sam Neill|David Thewlis|Hugh Grant|Polly Walker,Michael Hoffman,historical 17th century british monarchy clv court,restoration 1995 drama historical 17th century british monarchy clv court robert downey jr meg ryan sam neill david thewlis hugh grant polly walker michael hoffman,tt0114272.jpg,3.526190476190476,420,3.5287826637599777
44,Mortal Kombat (1995),Action Adventure Fantasy,113855,9312.0,Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson|Talisa Soto,Paul W.S. Anderson,video game adaptation fighting martial arts fight scenes adapted from:game,mortal kombat 1995 action adventure fantasy video game adaptation fighting martial arts fight scenes adapted from game christopher lambert robin shou linden ashby cary hiroyuki tagawa bridgette wilson talisa soto paul w s anderson,tt0113855.jpg,4.536363636363636,55,3.7978572936285113
45,To Die For (1995),Comedy Drama Thriller,114681,577.0,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Alison Folland,Gus Van Sant,dark comedy 100 essential female performances joaquin phoenix library obsession,to die for 1995 comedy drama thriller dark comedy 100 essential female performances joaquin phoenix library obsession nicole kidman matt dillon joaquin phoenix casey affleck illeana douglas alison folland gus van sant,tt0114681.jpg,3.7954545454545454,44,3.5932162395074743
46,How to Make an American Quilt (1995),Drama Romance,113347,11861.0,Winona Ryder|Anne Bancroft|Ellen Burstyn|Kate Nelligan|Jean Simmons|Maya Angelou,Jocelyn Moorhouse,women a chick flick advice based on a book bibliothek,how to make an american quilt 1995 drama romance women a chick flick advice based on a book bibliothek winona ryder anne bancroft ellen burstyn kate nelligan jean simmons maya angelou jocelyn moorhouse,tt0113347.jpg,3.796875,160,3.6684127989269433
47,Seven (a.k.a. Se7en) (1995),Mystery Thriller,114369,807.0,Brad Pitt|Morgan Freeman|Gwyneth Paltrow|John C. McGinley|Kevin Spacey|R. Lee Ermey,David Fincher,serial killer twist ending psychology morgan freeman brad pitt,seven a k a se7en 1995 mystery thriller serial killer twist ending psychology morgan freeman brad pitt brad pitt morgan freeman gwyneth paltrow john c mcginley kevin spacey r lee ermey david fincher,,3.585714285714286,70,3.551333474053277
48,Pocahontas (1995),Animation Children Drama Musical Romance,114148,10530.0,Irene Bedard|Mel Gibson|David Ogden Stiers|John Kassir|Russell Means|Christian Bale,Mike Gabriel|Eric Goldberg,disney animation strong female lead romance musical,pocahontas 1995 animation children drama musical romance disney animation strong female lead romance musical irene bedard mel gibson david ogden stiers john kassir russell means christian bale mike gabriel eric goldberg,tt0114148.jpg,4.08,25,3.6113890647888174
49,When Night Is Falling (1995),Drama Romance,114916,8391.0,Pascale Bussières|Rachael Crawford|Henry Czerny|Don McKellar,Patricia Rozema,lesbian circus religion atmospheric female director,when night is falling 1995 drama romance lesbian circus religion atmospheric female director pascale bussi res rachael crawford henry czerny don mckellar patricia rozema,,4.2,25,3.628055731455485
50,"Usual Suspects, The (1995)",Crime Mystery Thriller,114814,629.0,Stephen Baldwin|Gabriel Byrne|Chazz Palminteri|Kevin Pollak|Pete Postlethwaite|Kevin Spacey,Bryan Singer,twist ending kevin spacey suspense complicated organized crime,usual suspects the 1995 crime mystery thriller twist ending kevin spacey suspense complicated organized crime stephen baldwin gabriel byrne chazz palminteri kevin pollak pete postlethwaite kevin spacey bryan singer,tt0114814.jpg,4.222222222222222,81,3.7713984392457087
51,Guardian Angel (1994),Action Drama Thriller,109950,117164.0,Cynthia Rothrock|Marshall R. Teague|Daniel McVicar|Lydie Denier|John O|Art Camacho,Richard W. Munchkin,,guardian angel 1994 action drama thriller  cynthia rothrock marshall r teague daniel mcvicar lydie denier john o art camacho richard w munchkin,,3.625,20,3.5460001809256414
52,Mighty Aphrodite (1995),Comedy Drama Romance,113819,11448.0,Woody Allen|Mira Sorvino|Helena Bonham Carter|F. Murray Abraham|Donald Symington|Claire Bloom,Woody Allen,woody allen a list adoption adoptive father adoptive mother,mighty aphrodite 1995 comedy drama romance woody allen a list adoption adoptive father adoptive mother woody allen mira sorvino helena bonham carter f murray abraham donald symington claire bloom woody allen,tt0113819.jpg,3.689655172413793,29,3.5600545199021045
53,Lamerica (1994),Adventure Drama,110299,49133.0,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli|Marjeta Ljarja,Gianni Amelio,gianni amelio immigrants in netflix queue independent film,lamerica 1994 adventure drama gianni amelio immigrants in netflix queue independent film enrico lo verso michele placido piro milkani carmelo di mazzarelli marjeta ljarja gianni amelio,,4.62962962962963,27,3.6980770970438863
54,"Big Green, The (1995)",Children Comedy,112499,26441.0,Steve Guttenberg|Olivia d|Jay O. Sanders|John Terry|Bug Hall|Jessica Robertson,Holly Goldberg Sloan,soccer disney holly goldberg sloan kids and family sport,big green the 1995 children comedy soccer disney holly goldberg sloan kids and family sport steve guttenberg olivia d jay o sanders john terry bug hall jessica robertson holly goldberg sloan,tt0112499.jpg,3.814814814814815,27,3.577197976164765
55,Georgia (1995),Drama,113158,97406.0,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe|John C. Reilly,Ulu Grosbard,100 essential female performances alcohol artist band drugs,georgia 1995 drama 100 essential female performances alcohol artist band drugs jennifer jason leigh mare winningham ted levine max perlich john doe john c reilly ulu grosbard,tt0113158.jpg,3.92,50,3.62951234957067
56,Kids of the Round Table (1995),Adventure Children Comedy Fantasy,113541,124057.0,Johnny Morina|Malcolm McDowell|Maggie Castle|James Rae|Michael Ironside,Robert Tinnell,,kids of the round table 1995 adventure children comedy fantasy  johnny morina malcolm mcdowell maggie castle james rae michael ironside robert tinnell,,3.716666666666667,30,3.5651353062810127
57,Home for the Holidays (1995),Drama,113321,9089.0,Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Claire Danes|Dylan McDermott,Jodie Foster,dysfunctional family robert downey jr thanksgiving amazon baltimore,home for the holidays 1995 drama dysfunctional family robert downey jr thanksgiving amazon baltimore holly hunter robert downey jr anne bancroft charles durning claire danes dylan mcdermott jodie foster,tt0113321.jpg,3.8267605633802817,355,3.738333395415661
58,"Postman, The (Postino, Il) (1994)",Comedy Drama Romance,110877,11010.0,Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti|Mariano Rigillo,Michael Radford,poetry italian bittersweet romance poets beautifully filmed pablo neruda,postman the postino il 1994 comedy drama romance poetry italian bittersweet romance poets beautifully filmed pablo neruda philippe noiret massimo troisi maria grazia cucinotta renato scarpa linda moretti mariano rigillo michael radford,,4.423076923076923,104,3.892085064331997
59,"Confessional, The (Confessionnal, Le) (1995)",Drama Mystery,112714,99040.0,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette|Kristin Scott Thomas|Ron Burrage,Robert Lepage,1.5 robert lepage,confessional the confessionnal le 1995 drama mystery 1 5 robert lepage lothaire bluteau patrick goyette jean louis millette kristin scott thomas ron burrage robert lepage,,3.389502762430939,362,3.433365631841368
60,"Indian in the Cupboard, The (1995)",Adventure Children Fantasy,113419,11359.0,Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins|Rishi Bhat|Steve Coogan,Frank Oz,based on book cupboard toy comes to life based on a book family,indian in the cupboard the 1995 adventure children fantasy based on book cupboard toy comes to life based on a book family hal scardino litefoot lindsay crouse richard jenkins rishi bhat steve coogan frank oz,tt0113419.jpg,3.56,50,3.541707471521889
61,Eye for an Eye (1996),Drama Thriller,116260,17182.0,Sally Field|Kiefer Sutherland|Ed Harris|Beverly D|Charlayne Woodard|Joe Mantegna,John Schlesinger,beverly d'angelo clv ed harris grieving parents gun,eye for an eye 1996 drama thriller beverly d angelo clv ed harris grieving parents gun sally field kiefer sutherland ed harris beverly d charlayne woodard joe mantegna john schlesinger,tt0116260.jpg,3.707006369426752,314,3.650426506741977
62,Mr. Holland's Opus (1995),Drama,113862,2054.0,Richard Dreyfuss|Glenne Headly|Jay Thomas|Olympia Dukakis|William H. Macy|Alicia Witt,Stephen Herek,inspirational music high school feel-good emotional,mr holland s opus 1995 drama inspirational music high school feel good emotional richard dreyfuss glenne headly jay thomas olympia dukakis william h macy alicia witt stephen herek,tt0113862.jpg,4.012195121951219,205,3.8070834212832976
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy Crime,116126,10607.0,Shawn Wayans|Marlon Wayans|Tracey Cherelle Jones|Chris Spencer|Vivica A. Fox|Rappin,Paris Barclay,wayans brothers parody funny when your 10. less funny when your not. hood ghetto,don t be a menace to south central while drinking your juice in the hood 1996 comedy crime wayans brothers parody funny when your 10 less funny when your not hood ghetto shawn wayans marlon wayans tracey cherelle jones chris spencer vivica a fox rappin paris barclay,tt0116126.jpg,3.825,40,3.59512836749737
64,Two if by Sea (1996),Comedy Romance,118002,19760.0,Sandra Bullock|Denis Leary|Yaphet Kotto|Stephen Dillane|Tracey Cherelle Jones|Julia Montgomery Brown,Bill Bennett,bill bennett island painting sandra bullock seasickness,two if by sea 1996 comedy romance bill bennett island painting sandra bullock seasickness sandra bullock denis leary yaphet kotto stephen dillane tracey cherelle jones julia montgomery brown bill bennett,tt0118002.jpg,4.160377358490566,53,3.694952075298016
65,Bio-Dome (1996),Comedy,115683,9536.0,Pauly Shore|Stephen Baldwin|Joey Lauren Adams|Teresa Hill|William Atherton|Dara Tomanovich,Jason Bloom,pauly shore polly shore annoying biotope buddy comedy,bio dome 1996 comedy pauly shore polly shore annoying biotope buddy comedy pauly shore stephen baldwin joey lauren adams teresa hill william atherton dara tomanovich jason bloom,tt0115683.jpg,4.132352941176471,34,3.643121860645435
